Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_mulieris__UMB0007B__GCA_026184155.1,Lactobacillus_mulieris__UMB7783B__GCA_030228195.1
group_351,,hypothetical protein,2,2,1.0,28,5,,,,477,477,477.0,OCAFGGHM_01002,GPENAHNM_00169
cobB,cobB,NAD-dependent protein deacetylase,2,2,1.0,28,4,,,,696,696,696.0,OCAFGGHM_01001,GPENAHNM_00170
ybiR,ybiR,Inner membrane protein YbiR,2,2,1.0,28,2,,,,1119,1119,1119.0,OCAFGGHM_00970,GPENAHNM_00652
rbsK,rbsK,Ribokinase,2,2,1.0,28,1,,,,912,912,912.0,OCAFGGHM_00978,GPENAHNM_00660
tagK,tagK,D-tagatose-1-phosphate kinase,2,2,1.0,27,24,,,,915,915,915.0,OCAFGGHM_00952,GPENAHNM_00875
ybjI,ybjI,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI,2,2,1.0,27,23,,,,789,789,789.0,OCAFGGHM_00950,GPENAHNM_00873
group_349,,putative ABC transporter ATP-binding protein,2,3,1.5,27,22,,,,513,1842,1232.0,OCAFGGHM_00959;OCAFGGHM_00958,GPENAHNM_00881
znuB,znuB,High-affinity zinc uptake system membrane protein ZnuB,2,2,1.0,27,21,,,,792,792,792.0,OCAFGGHM_00948,GPENAHNM_00871
apbE,apbE,FAD:protein FMN transferase,2,2,1.0,27,20,,,,495,930,712.5,OCAFGGHM_00969,GPENAHNM_00892
rsmG,rsmG,Ribosomal RNA small subunit methyltransferase G,2,2,1.0,27,19,,,,720,720,720.0,OCAFGGHM_00967,GPENAHNM_00890
rcsC,rcsC,Sensor histidine kinase RcsC,2,2,1.0,27,18,,,,1164,1164,1164.0,OCAFGGHM_00956,GPENAHNM_00879
znuC,znuC,Zinc import ATP-binding protein ZnuC,2,2,1.0,27,17,,,,657,657,657.0,OCAFGGHM_00949,GPENAHNM_00872
pepF1,pepF1,Oligoendopeptidase F plasmid,2,2,1.0,27,16,,,,1788,1788,1788.0,OCAFGGHM_00945,GPENAHNM_00868
group_348,,hypothetical protein,2,2,1.0,27,15,,,,531,531,531.0,OCAFGGHM_00968,GPENAHNM_00891
group_347,,hypothetical protein,2,2,1.0,27,14,,,,261,261,261.0,OCAFGGHM_00963,GPENAHNM_00886
group_346,,Aspartate racemase,2,2,1.0,27,13,,,,753,753,753.0,OCAFGGHM_00954,GPENAHNM_00877
glcR,glcR,HTH-type transcriptional repressor GlcR,2,2,1.0,27,12,,,,756,756,756.0,OCAFGGHM_00953,GPENAHNM_00876
glcA_1,glcA_1,Glycolate permease GlcA,2,2,1.0,27,11,,,,1524,1524,1524.0,OCAFGGHM_00946,GPENAHNM_00869
vanR,vanR,Regulatory protein VanR,2,2,1.0,27,10,,,,687,687,687.0,OCAFGGHM_00957,GPENAHNM_00880
glcA_2,glcA_2,Glycolate permease GlcA,2,2,1.0,27,9,,,,1536,1536,1536.0,OCAFGGHM_00947,GPENAHNM_00870
fruA,fruA,PTS system fructose-specific EIIABC component,2,2,1.0,27,8,,,,1965,1965,1965.0,OCAFGGHM_00951,GPENAHNM_00874
ychF,ychF,Ribosome-binding ATPase YchF,2,2,1.0,27,7,,,,1101,1101,1101.0,OCAFGGHM_00962,GPENAHNM_00885
group_345,,hypothetical protein,2,2,1.0,27,6,,,,765,765,765.0,OCAFGGHM_00961,GPENAHNM_00884
noc,noc,Nucleoid occlusion protein,2,2,1.0,27,5,,,,843,843,843.0,OCAFGGHM_00966,GPENAHNM_00889
murE,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase,2,2,1.0,27,4,,,,1551,1551,1551.0,OCAFGGHM_00955,GPENAHNM_00878
spo0J,spo0J,Stage 0 sporulation protein J,2,2,1.0,27,3,,,,909,909,909.0,OCAFGGHM_00964,GPENAHNM_00887
group_344,,putative ABC transporter ATP-binding protein,2,3,1.5,27,2,,,,681,1710,1105.0,OCAFGGHM_00960,GPENAHNM_00883;GPENAHNM_00882
soj,soj,Sporulation initiation inhibitor protein Soj,2,2,1.0,27,1,,,,780,780,780.0,OCAFGGHM_00965,GPENAHNM_00888
tagU,tagU,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,2,2,1.0,26,2,,,,1209,1209,1209.0,OCAFGGHM_00944,GPENAHNM_01391
mco,mco,Multicopper oxidase mco,2,2,1.0,26,1,,,,1566,1566,1566.0,OCAFGGHM_00943,GPENAHNM_01392
brpA,brpA,Biofilm regulatory protein A,2,2,1.0,25,20,,,,1146,1146,1146.0,OCAFGGHM_00931,GPENAHNM_01549
clahy,cla-hy,Linoleate hydratase,2,2,1.0,25,19,,,,1692,1692,1692.0,OCAFGGHM_00923,GPENAHNM_01543
plsY_2,plsY_2,Glycerol-3-phosphate acyltransferase,2,2,1.0,25,18,,,,618,618,618.0,OCAFGGHM_00930,GPENAHNM_01548
group_343,,hypothetical protein,2,2,1.0,25,17,,,,1788,1788,1788.0,OCAFGGHM_00941,GPENAHNM_01559
group_342,,hypothetical protein,2,2,1.0,25,16,,,,2544,2544,2544.0,OCAFGGHM_00933,GPENAHNM_01551
group_338,,hypothetical protein,2,2,1.0,25,12,,,,606,606,606.0,OCAFGGHM_00940,GPENAHNM_01558
yjjB,yjjB,succinate transporter subunit YjjB,2,2,1.0,25,11,,,,462,462,462.0,OCAFGGHM_00936,GPENAHNM_01554
group_337,,hypothetical protein,2,2,1.0,25,10,,,,369,369,369.0,OCAFGGHM_00939,GPENAHNM_01557
group_336,,hypothetical protein,2,2,1.0,25,9,,,,558,558,558.0,OCAFGGHM_00935,GPENAHNM_01553
tyrS,tyrS,Tyrosine--tRNA ligase,2,2,1.0,25,8,,,,1263,1263,1263.0,OCAFGGHM_00925,GPENAHNM_01545
yheS,yheS,putative ATP-binding protein YheS,2,2,1.0,25,7,,,,1542,1542,1542.0,OCAFGGHM_00938,GPENAHNM_01556
gpmA_3,gpmA_3,23-bisphosphoglycerate-dependent phosphoglycerate mutase,2,2,1.0,25,6,,,,693,693,693.0,OCAFGGHM_00932,GPENAHNM_01550
yjjP,yjjP,putative succinate transporter subunit YjjP,2,2,1.0,25,5,,,,768,768,768.0,OCAFGGHM_00937,GPENAHNM_01555
group_334,,putative ABC transporter ATP-binding protein,2,2,1.0,25,3,,,,702,702,702.0,OCAFGGHM_00934,GPENAHNM_01552
group_333,,hypothetical protein,2,2,1.0,25,2,,,,918,945,931.5,OCAFGGHM_00929,GPENAHNM_01547
pepE,pepE,Aminopeptidase E,2,2,1.0,24,1,,,,1317,1317,1317.0,OCAFGGHM_00922,GPENAHNM_01541
group_331,,hypothetical protein,2,2,1.0,23,32,,,,738,738,738.0,OCAFGGHM_00897,GPENAHNM_00551
dnaI,dnaI,Replicative helicase loader DnaI,2,2,1.0,23,31,,,,915,915,915.0,OCAFGGHM_00916,GPENAHNM_00568
rplT,rplT,Large ribosomal subunit protein bL20,2,2,1.0,23,30,,,,357,357,357.0,OCAFGGHM_00911,GPENAHNM_00563
mutM,mutM,Formamidopyrimidine-DNA glycosylase,2,2,1.0,23,29,,,,828,828,828.0,OCAFGGHM_00920,GPENAHNM_00572
tmcAL,tmcAL,tRNA(Met) cytidine acetate ligase,2,2,1.0,23,28,,,,1047,1155,1101.0,OCAFGGHM_00902,GPENAHNM_00556
arlR,arlR,Response regulator ArlR,2,2,1.0,23,27,,,,723,723,723.0,OCAFGGHM_00900,GPENAHNM_00554
pheT_1,pheT_1,Phenylalanine--tRNA ligase beta subunit,2,2,1.0,23,26,,,,2409,2409,2409.0,OCAFGGHM_00889,GPENAHNM_00543
coaE,coaE,Dephospho-CoA kinase,2,2,1.0,23,25,,,,615,615,615.0,OCAFGGHM_00919,GPENAHNM_00571
dnaB_2,dnaB_2,Replicative helicase loading/DNA remodeling protein DnaB,2,2,1.0,23,24,,,,1344,1344,1344.0,OCAFGGHM_00917,GPENAHNM_00569
pheS,pheS,Phenylalanine--tRNA ligase alpha subunit,2,2,1.0,23,23,,,,1050,1050,1050.0,OCAFGGHM_00890,GPENAHNM_00544
desK,desK,Sensor histidine kinase DesK,2,2,1.0,23,22,,,,1104,1104,1104.0,OCAFGGHM_00896,GPENAHNM_00550
gph,gph,Phosphoglycolate phosphatase,2,2,1.0,23,21,,,,531,531,531.0,OCAFGGHM_00907,GPENAHNM_00561
group_330,,Bis(5'-nucleosyl)-tetraphosphatase symmetrical,2,2,1.0,23,20,,,,609,609,609.0,OCAFGGHM_00904,GPENAHNM_00558
desR,desR,Transcriptional regulatory protein DesR,2,2,1.0,23,19,,,,606,606,606.0,OCAFGGHM_00895,GPENAHNM_00549
thrS,thrS,Threonine--tRNA ligase,2,2,1.0,23,18,,,,1932,1932,1932.0,OCAFGGHM_00914,GPENAHNM_00566
uup_4~~~uup_2,uup_4;uup_2,ATP-binding protein Uup,2,2,1.0,23,17,,,,870,870,870.0,OCAFGGHM_00898,GPENAHNM_00552
adhE_3~~~adhE_2~~~adhE_1~~~adhE,adhE_3;adhE_2;adhE_1;adhE,Aldehyde-alcohol dehydrogenase,2,4,2.0,23,16,,,,402,2598,1268.25,OCAFGGHM_00908;OCAFGGHM_00909;OCAFGGHM_00910,GPENAHNM_00562
group_329,,hypothetical protein,2,2,1.0,23,15,,,,546,546,546.0,OCAFGGHM_00901,GPENAHNM_00555
nrdR,nrdR,Transcriptional repressor NrdR,2,2,1.0,23,14,,,,468,468,468.0,OCAFGGHM_00918,GPENAHNM_00570
rpmI,rpmI,Large ribosomal subunit protein bL35,2,2,1.0,23,13,,,,201,201,201.0,OCAFGGHM_00912,GPENAHNM_00564
yccX,yccX,Acylphosphatase,2,2,1.0,23,12,,,,276,276,276.0,OCAFGGHM_00893,GPENAHNM_00547
pepO_1,pepO_1,Neutral endopeptidase,2,2,1.0,23,11,,,,1956,1956,1956.0,OCAFGGHM_00915,GPENAHNM_00567
misCB,misCB,Membrane protein insertase MisCB,2,2,1.0,23,10,,,,975,975,975.0,OCAFGGHM_00894,GPENAHNM_00548
infC,infC,Translation initiation factor IF-3,2,2,1.0,23,9,,,,477,477,477.0,OCAFGGHM_00913,GPENAHNM_00565
yqeH,yqeH,putative protein YqeH,2,2,1.0,23,8,,,,1110,1110,1110.0,OCAFGGHM_00906,GPENAHNM_00560
rlmP,rlmP,23S rRNA (guanosine(2553)-2'-O)-methyltransferase RlmP,2,2,1.0,23,7,,,,768,768,768.0,OCAFGGHM_00892,GPENAHNM_00546
greA_1,greA_1,Transcription elongation factor GreA,2,2,1.0,23,6,,,,477,477,477.0,OCAFGGHM_00888,GPENAHNM_00542
sasA_1,sasA_1,Adaptive-response sensory-kinase SasA,2,2,1.0,23,5,,,,1569,1569,1569.0,OCAFGGHM_00899,GPENAHNM_00553
rsfS,rsfS,Ribosomal silencing factor RsfS,2,2,1.0,23,4,,,,348,348,348.0,OCAFGGHM_00903,GPENAHNM_00557
nadD,nadD,Nicotinate-nucleotide adenylyltransferase,2,2,1.0,23,3,,,,630,630,630.0,OCAFGGHM_00905,GPENAHNM_00559
yodB,yodB,HTH-type transcriptional regulator YodB,2,2,1.0,23,2,,,,351,351,351.0,OCAFGGHM_00891,GPENAHNM_00545
polA,polA,DNA polymerase I,2,2,1.0,23,1,,,,2151,2658,2404.5,OCAFGGHM_00921,GPENAHNM_00573
pbpB,pbpB,Penicillin-binding protein 2B,2,2,1.0,22,30,,,,2163,2163,2163.0,OCAFGGHM_00866,GPENAHNM_00048
group_328,,hypothetical protein,2,2,1.0,22,29,,,,825,825,825.0,OCAFGGHM_00875,GPENAHNM_00039
divIB,divIB,Cell division protein DivIB,2,2,1.0,22,28,,,,855,855,855.0,OCAFGGHM_00870,GPENAHNM_00044
mreC,mreC,Cell shape-determining protein MreC,2,2,1.0,22,27,,,,858,858,858.0,OCAFGGHM_00859,GPENAHNM_00055
mraZ,mraZ,Transcriptional regulator MraZ,2,2,1.0,22,26,,,,432,432,432.0,OCAFGGHM_00863,GPENAHNM_00051
nudF,nudF,ADP-ribose pyrophosphatase,2,2,1.0,22,25,,,,567,567,567.0,OCAFGGHM_00879,GPENAHNM_00035
group_327,,hypothetical protein,2,2,1.0,22,24,,,,279,279,279.0,OCAFGGHM_00880,GPENAHNM_00034
iscS_2,iscS_2,Cysteine desulfurase IscS,2,2,1.0,22,23,,,,1164,1164,1164.0,OCAFGGHM_00882,GPENAHNM_00032
group_326,,hypothetical protein,2,2,1.0,22,22,,,,8019,9027,8523.0,OCAFGGHM_00885,GPENAHNM_00029
ftsL,ftsL,Cell division protein FtsL,2,2,1.0,22,21,,,,375,375,375.0,OCAFGGHM_00865,GPENAHNM_00049
group_325,,hypothetical protein,2,2,1.0,22,20,,,,309,309,309.0,OCAFGGHM_00886,GPENAHNM_00028
mtnN,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,2,2,1.0,22,19,,,,690,690,690.0,OCAFGGHM_00881,GPENAHNM_00033
mreB,mreB,Cell shape-determining protein MreB,2,2,1.0,22,18,,,,762,1005,883.5,OCAFGGHM_00858,GPENAHNM_00056
group_324,,hypothetical protein,2,2,1.0,22,17,,,,288,288,288.0,OCAFGGHM_00874,GPENAHNM_00040
group_323,,(R)-mandelonitrile lyase,2,2,1.0,22,16,,,,399,399,399.0,OCAFGGHM_00887,GPENAHNM_00027
rsmH,rsmH,Ribosomal RNA small subunit methyltransferase H,2,2,1.0,22,15,,,,954,954,954.0,OCAFGGHM_00864,GPENAHNM_00050
group_322,,hypothetical protein,2,2,1.0,22,14,,,,330,330,330.0,OCAFGGHM_00862,GPENAHNM_00052
ftsZ,ftsZ,Cell division protein FtsZ,2,2,1.0,22,13,,,,1326,1374,1350.0,OCAFGGHM_00872,GPENAHNM_00042
ileS,ileS,isoleucine--tRNA ligase IleS,2,2,1.0,22,12,,,,2793,2793,2793.0,OCAFGGHM_00877,GPENAHNM_00037
sepF,sepF,Cell division protein SepF,2,2,1.0,22,11,,,,462,462,462.0,OCAFGGHM_00873,GPENAHNM_00041
mraY,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,2,2,1.0,22,10,,,,960,960,960.0,OCAFGGHM_00867,GPENAHNM_00047
group_321,,hypothetical protein,2,2,1.0,22,9,,,,336,336,336.0,OCAFGGHM_00883,GPENAHNM_00031
ftsA,ftsA,Cell division protein FtsA,2,2,1.0,22,8,,,,1371,1371,1371.0,OCAFGGHM_00871,GPENAHNM_00043
murG,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,2,2,1.0,22,7,,,,1113,1113,1113.0,OCAFGGHM_00869,GPENAHNM_00045
gpsB_2~~~gpsB_1,gpsB_2;gpsB_1,Cell cycle adapter protein GpsB,2,2,1.0,22,6,,,,723,732,727.5,OCAFGGHM_00876,GPENAHNM_00038
murD,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,2,2,1.0,22,5,,,,1371,1371,1371.0,OCAFGGHM_00868,GPENAHNM_00046
group_320,,hypothetical protein,2,2,1.0,22,4,,,,120,120,120.0,OCAFGGHM_00861,GPENAHNM_00053
group_319,,hypothetical protein,2,2,1.0,22,3,,,,546,546,546.0,OCAFGGHM_00860,GPENAHNM_00054
mnmA,mnmA,tRNA-specific 2-thiouridylase MnmA,2,2,1.0,22,2,,,,1128,1128,1128.0,OCAFGGHM_00884,GPENAHNM_00030
cspA,cspA,Cold shock-like protein CspA,2,2,1.0,22,1,,,,222,222,222.0,OCAFGGHM_00878,GPENAHNM_00036
levE_1,levE_1,PTS system fructose-specific EIIB component,2,2,1.0,21,28,,,,489,489,489.0,OCAFGGHM_00851,GPENAHNM_00386
gatC_1,;gatC_1,hypothetical protein;PTS system galactitol-specific EIIC component,2,4,2.0,21,27,,,,258,1380,582.75,OCAFGGHM_01729;OCAFGGHM_00857;OCAFGGHM_00856,GPENAHNM_00381
dgoD,dgoD,D-galactonate dehydratase,2,2,1.0,21,26,,,,1146,1146,1146.0,OCAFGGHM_01730,GPENAHNM_00380
degA_1,degA_1,HTH-type transcriptional regulator DegA,2,2,1.0,21,25,,,,1005,1005,1005.0,OCAFGGHM_00847,GPENAHNM_00390
group_318,,hypothetical protein,2,2,1.0,21,24,,,,432,432,432.0,OCAFGGHM_00850,GPENAHNM_00387
group_317,,hypothetical protein,2,2,1.0,21,23,,,,1674,1674,1674.0,OCAFGGHM_00849,GPENAHNM_00388
yflS_1,yflS_1,Putative malate transporter YflS,2,2,1.0,21,22,,,,1395,1455,1425.0,OCAFGGHM_00846,GPENAHNM_00391
group_316,,Aspartate aminotransferase,2,2,1.0,21,21,,,,1176,1176,1176.0,OCAFGGHM_00841,GPENAHNM_00395
group_315,,hypothetical protein,2,2,1.0,21,20,,,,1836,2049,1942.5,OCAFGGHM_00852,GPENAHNM_00385
group_314,,hypothetical protein,2,2,1.0,21,19,,,,447,480,463.5,OCAFGGHM_01731,GPENAHNM_00379
tal,tal,Transaldolase,2,2,1.0,21,18,,,,726,726,726.0,OCAFGGHM_00848,GPENAHNM_00389
group_313,,hypothetical protein,2,2,1.0,21,17,,,,444,444,444.0,OCAFGGHM_00839,GPENAHNM_00397
adh,adh,Alcohol dehydrogenase,2,2,1.0,21,16,,,,1035,1035,1035.0,OCAFGGHM_00840,GPENAHNM_00396
cysL,cysL,HTH-type transcriptional regulator CysL,2,2,1.0,21,15,,,,879,879,879.0,OCAFGGHM_00844,GPENAHNM_00393
glf,glf,UDP-galactopyranose mutase,2,2,1.0,21,13,,,,1107,1107,1107.0,OCAFGGHM_00834,GPENAHNM_00404
group_311,,hypothetical protein,2,2,1.0,21,12,,,,180,180,180.0,OCAFGGHM_00845,GPENAHNM_00392
group_310,,hypothetical protein,2,2,1.0,21,11,,,,3621,4113,3867.0,OCAFGGHM_00835,GPENAHNM_00403
group_309,,hypothetical protein,2,2,1.0,21,10,,,,216,228,222.0,OCAFGGHM_00838,GPENAHNM_00400
kdgA,kdgA,2-dehydro-3-deoxy-phosphogluconate aldolase,2,2,1.0,21,9,,,,612,612,612.0,OCAFGGHM_00853,GPENAHNM_00384
group_308,,hypothetical protein,2,2,1.0,21,8,,,,465,465,465.0,OCAFGGHM_00854,GPENAHNM_00383
group_307,,hypothetical protein,2,2,1.0,21,7,,,,273,273,273.0,OCAFGGHM_00836,1_refound_4
group_306,,hypothetical protein,2,2,1.0,21,6,,,,837,837,837.0,OCAFGGHM_00837,GPENAHNM_00402
gatB_2,gatB_2,PTS system galactitol-specific EIIB component,2,2,1.0,21,5,,,,282,282,282.0,OCAFGGHM_00855,GPENAHNM_00382
group_304,,hypothetical protein,2,3,1.5,21,1,,,,438,1728,1008.0,OCAFGGHM_00843;OCAFGGHM_00842,GPENAHNM_00394
agaC,agaC,N-acetylgalactosamine permease IIC component 1,2,2,1.0,20,14,,,,783,783,783.0,OCAFGGHM_00777,GPENAHNM_01309
manZ_1,manZ_1,PTS system mannose-specific EIID component,2,2,1.0,20,13,,,,801,801,801.0,OCAFGGHM_00778,GPENAHNM_01308
group_303,,hypothetical protein,2,2,1.0,20,12,,,,93,93,93.0,OCAFGGHM_00774,GPENAHNM_01313
ctpE,ctpE,Calcium-transporting ATPase CtpE,2,2,1.0,20,9,,,,2409,2409,2409.0,OCAFGGHM_00779,GPENAHNM_01302
asnA,asnA,Aspartate--ammonia ligase,2,2,1.0,20,8,,,,1008,1008,1008.0,OCAFGGHM_00780,GPENAHNM_01301
yokD_2,yokD_2;,SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD;hypothetical protein,2,3,1.5,20,5,,,,156,810,530.0,OCAFGGHM_00775,GPENAHNM_01312;GPENAHNM_01311
group_299,rihA_2,Pyrimidine-specific ribonucleoside hydrolase RihA,2,2,1.0,20,4,,,,939,939,939.0,OCAFGGHM_00773,GPENAHNM_01314
bcaP_1,bcaP_1,Branched-chain amino acid permease BcaP,2,2,1.0,20,3,,,,1380,1380,1380.0,OCAFGGHM_00772,GPENAHNM_01315
manX_1,manX_1,PTS system mannose-specific EIIAB component,2,2,1.0,20,2,,,,915,915,915.0,OCAFGGHM_00776,GPENAHNM_01310
ypiA,ypiA,TPR repeat-containing protein YpiA,2,2,1.0,19,29,,,,1251,1251,1251.0,OCAFGGHM_00743,GPENAHNM_00206
rluB,rluB,Ribosomal large subunit pseudouridine synthase B,2,2,1.0,19,28,,,,714,714,714.0,OCAFGGHM_00750,GPENAHNM_00199
group_298,,putative oxidoreductase,2,2,1.0,19,27,,,,795,795,795.0,OCAFGGHM_00765,GPENAHNM_00184
group_297,,hypothetical protein,2,2,1.0,19,26,,,,324,384,354.0,OCAFGGHM_00760,GPENAHNM_00189
group_296,,hypothetical protein,2,2,1.0,19,25,,,,345,3126,1735.5,OCAFGGHM_00771,GPENAHNM_00178
rnz,rnz,Ribonuclease Z,2,2,1.0,19,24,,,,930,930,930.0,OCAFGGHM_00766,GPENAHNM_00183
group_295,,hypothetical protein,2,2,1.0,19,23,,,,480,558,519.0,OCAFGGHM_00748,GPENAHNM_00201
scpA,scpA,Segregation and condensation protein A,2,2,1.0,19,22,,,,729,729,729.0,OCAFGGHM_00752,GPENAHNM_00197
ribU,ribU,Riboflavin transporter RibU,2,2,1.0,19,21,,,,528,573,550.5,OCAFGGHM_00749,GPENAHNM_00200
pyk,pyk,Pyruvate kinase,2,2,1.0,19,20,,,,1770,1770,1770.0,OCAFGGHM_00756,GPENAHNM_00193
obg,obg,GTPase Obg,2,2,1.0,19,19,,,,1299,1299,1299.0,OCAFGGHM_00768,GPENAHNM_00181
uvrC,uvrC,UvrABC system protein C,2,2,1.0,19,18,,,,1803,1803,1803.0,OCAFGGHM_00769,GPENAHNM_00180
cmk,cmk,Cytidylate kinase,2,2,1.0,19,17,,,,666,666,666.0,OCAFGGHM_00747,GPENAHNM_00202
cvfB,cvfB,Conserved virulence factor B,2,2,1.0,19,16,,,,879,879,879.0,OCAFGGHM_00755,GPENAHNM_00194
scpB,scpB,Segregation and condensation protein B,2,2,1.0,19,15,,,,600,600,600.0,OCAFGGHM_00751,GPENAHNM_00198
der,der,GTPase Der,2,2,1.0,19,14,,,,1311,1311,1311.0,OCAFGGHM_00745,GPENAHNM_00204
group_294,,hypothetical protein,2,2,1.0,19,13,,,,261,261,261.0,OCAFGGHM_00764,GPENAHNM_00185
rpmF,rpmF,Large ribosomal subunit protein bL32,2,2,1.0,19,12,,,,186,186,186.0,OCAFGGHM_00763,GPENAHNM_00186
group_293,,hypothetical protein,2,2,1.0,19,11,,,,333,333,333.0,OCAFGGHM_00761,GPENAHNM_00188
group_292,,hypothetical protein,2,2,1.0,19,10,,,,612,612,612.0,OCAFGGHM_00770,GPENAHNM_00179
rps1,rps1,Small ribosomal subunit protein bS1,2,2,1.0,19,9,,,,1209,1209,1209.0,OCAFGGHM_00746,GPENAHNM_00203
oatA,oatA,Peptidoglycan O-acetyltransferase OatA,2,2,1.0,19,8,,,,1917,1917,1917.0,OCAFGGHM_00767,GPENAHNM_00182
pfkA,pfkA,ATP-dependent 6-phosphofructokinase,2,2,1.0,19,7,,,,960,960,960.0,OCAFGGHM_00757,GPENAHNM_00192
dnaE,dnaE,DNA polymerase III subunit alpha,2,2,1.0,19,6,,,,3120,3120,3120.0,OCAFGGHM_00758,GPENAHNM_00191
hup,hup,DNA-binding protein HU,2,2,1.0,19,5,,,,276,276,276.0,OCAFGGHM_00744,GPENAHNM_00205
group_291,,hypothetical protein,2,2,1.0,19,4,,,,204,204,204.0,OCAFGGHM_00759,GPENAHNM_00190
ribT,ribT,Protein RibT,2,2,1.0,19,3,,,,339,339,339.0,OCAFGGHM_00753,GPENAHNM_00196
xerD_2,xerD_2,Tyrosine recombinase XerD,2,2,1.0,19,2,,,,903,903,903.0,OCAFGGHM_00754,GPENAHNM_00195
cpdB,cpdB,2'3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase,2,2,1.0,19,1,,,,1566,1566,1566.0,OCAFGGHM_00762,GPENAHNM_00187
prfB,prfB,Peptide chain release factor 2,2,2,1.0,18,33,,,,999,999,999.0,OCAFGGHM_00718,GPENAHNM_01208
rny,rny,Ribonuclease Y,2,2,1.0,18,32,,,,1632,1632,1632.0,OCAFGGHM_00725,GPENAHNM_01215
pgsA,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,2,2,1.0,18,31,,,,564,564,564.0,OCAFGGHM_00727,GPENAHNM_01217
lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,2,2,1.0,18,30,,,,834,834,834.0,OCAFGGHM_00715,GPENAHNM_01205
comFA,comFA,Competence protein ComFA,2,2,1.0,18,29,,,,1281,1281,1281.0,OCAFGGHM_00722,GPENAHNM_01212
trxB,trxB,Thioredoxin reductase,2,2,1.0,18,28,,,,927,927,927.0,OCAFGGHM_00713,GPENAHNM_01203
pgl,pgl,6-phosphogluconolactonase,2,2,1.0,18,27,,,,1023,1023,1023.0,OCAFGGHM_00737,GPENAHNM_01227
group_290,,hypothetical protein,2,2,1.0,18,26,,,,306,306,306.0,OCAFGGHM_00717,GPENAHNM_01207
pgcA,pgcA,Phosphoglucomutase,2,2,1.0,18,25,,,,1725,1725,1725.0,OCAFGGHM_00712,GPENAHNM_01202
spoIIIE,spoIIIE,DNA translocase SpoIIIE,2,2,1.0,18,24,,,,2391,2391,2391.0,OCAFGGHM_00732,GPENAHNM_01222
gpsA,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],2,2,1.0,18,23,,,,1023,1023,1023.0,OCAFGGHM_00714,GPENAHNM_01204
secA,secA,Protein translocase subunit SecA,2,2,1.0,18,22,,,,2403,2403,2403.0,OCAFGGHM_00719,GPENAHNM_01209
tagO,tagO,putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase,2,2,1.0,18,21,,,,1170,1170,1170.0,OCAFGGHM_00724,GPENAHNM_01214
fabG,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,2,2,1.0,18,20,,,,729,729,729.0,OCAFGGHM_00729,GPENAHNM_01219
group_289,,hypothetical protein,2,2,1.0,18,19,,,,1236,1236,1236.0,OCAFGGHM_00730,GPENAHNM_01220
yigZ,yigZ,IMPACT family member YigZ,2,2,1.0,18,18,,,,663,663,663.0,OCAFGGHM_00723,GPENAHNM_01213
yvcJ,yvcJ,Nucleotide-binding protein YvcJ,2,2,1.0,18,17,,,,876,876,876.0,OCAFGGHM_00709,GPENAHNM_01199
group_288,,Putative gluconeogenesis factor,2,2,1.0,18,16,,,,1038,1038,1038.0,OCAFGGHM_00708,GPENAHNM_01198
hprK,hprK,HPr kinase/phosphorylase,2,2,1.0,18,15,,,,942,942,942.0,OCAFGGHM_00716,GPENAHNM_01206
comFC,comFC,Competence protein ComFC,2,2,1.0,18,14,,,,678,678,678.0,OCAFGGHM_00721,GPENAHNM_01211
group_287,,hypothetical protein,2,2,1.0,18,13,,,,396,396,396.0,OCAFGGHM_00733,GPENAHNM_01223
pacL,pacL,Calcium-transporting ATPase,2,2,1.0,18,12,,,,2745,2745,2745.0,OCAFGGHM_00736,GPENAHNM_01226
group_286,,hypothetical protein,2,2,1.0,18,11,,,,1065,1065,1065.0,OCAFGGHM_00728,GPENAHNM_01218
group_285,,Putative transport protein,2,2,1.0,18,10,,,,1206,1206,1206.0,OCAFGGHM_00735,GPENAHNM_01225
uvrA_1,uvrA_1,UvrABC system protein A,2,2,1.0,18,9,,,,2841,2841,2841.0,OCAFGGHM_00710,GPENAHNM_01200
